sensor_id,x,y,z
0,0.0,392.4,-493.5
1,0.0,392.4,-486.5
2,0.0,392.4,-479.5
3,0.0,392.4,-472.5
4,0.0,392.4,-465.5
5,0.0,392.4,-458.5
6,0.0,392.4,-451.5
7,0.0,392.4,-444.5
8,0.0,392.4,-437.5
9,0.0,392.4,-430.5
10,0.0,392.4,-423.5
11,0.0,392.4,-416.5
12,0.0,392.4,-409.5
13,0.0,392.4,-402.5
14,0.0,392.4,-395.5
15,0.0,392.4,-388.5
16,0.0,392.4,-381.5
17,0.0,392.4,-374.5
18,0.0,392.4,-367.5
19,0.0,392.4,-360.5
20,0.0,392.4,-353.5
21,0.0,392.4,-346.5
22,0.0,392.4,-339.5
23,0.0,392.4,-332.5
24,0.0,392.4,-325.5
25,0.0,392.4,-318.5
26,0.0,392.4,-311.5
27,0.0,392.4,-304.5
28,0.0,392.4,-297.5
29,0.0,392.4,-290.5
30,0.0,392.4,-283.5
31,0.0,392.4,-276.5
32,0.0,392.4,-269.5
33,0.0,392.4,-262.5
34,0.0,392.4,-255.5
35,0.0,392.4,-248.5
36,0.0,392.4,-241.5
37,0.0,392.4,-234.5
38,0.0,392.4,-227.5
39,0.0,392.4,-220.5
40,0.0,392.4,-213.5
41,0.0,392.4,-206.5
42,0.0,392.4,-199.5
43,0.0,392.4,-192.5
44,0.0,392.4,-185.5
45,0.0,392.4,-178.5
46,0.0,392.4,-171.5
47,0.0,392.4,-164.5
48,0.0,392.4,-157.5
49,0.0,392.4,-150.5
50,0.0,392.4,-143.5
51,0.0,392.4,-136.5
52,0.0,392.4,-129.5
53,0.0,392.4,-122.5
54,0.0,392.4,-115.5
55,0.0,392.4,-108.5
56,0.0,392.4,-101.5
57,0.0,392.4,-94.5
58,0.0,392.4,-87.5
59,0.0,392.4,-80.5
60,0.0,392.4,-73.5
61,0.0,392.4,-66.5
62,0.0,392.4,-59.5
63,0.0,392.4,-52.5
64,0.0,392.4,-45.5
65,0.0,392.4,-38.5
66,0.0,392.4,-31.5
67,0.0,392.4,-24.5
68,0.0,392.4,-17.5
69,0.0,392.4,-10.5
70,0.0,392.4,-3.5
71,0.0,392.4,3.5
72,0.0,392.4,10.5
73,0.0,392.4,17.5
74,0.0,392.4,24.5
75,0.0,392.4,31.5
76,0.0,392.4,38.5
77,0.0,392.4,45.5
78,0.0,392.4,52.5
79,0.0,392.4,59.5
80,0.0,392.4,66.5
81,0.0,392.4,73.5
82,0.0,392.4,80.5
83,0.0,392.4,87.5
84,0.0,392.4,94.5
85,0.0,392.4,101.5
86,0.0,392.4,108.5
87,0.0,392.4,115.5
88,0.0,392.4,122.5
89,0.0,392.4,129.5
90,0.0,392.4,136.5
91,0.0,392.4,143.5
92,0.0,392.4,150.5
93,0.0,392.4,157.5
94,0.0,392.4,164.5
95,0.0,392.4,171.5
96,0.0,392.4,178.5
97,0.0,392.4,185.5
98,0.0,392.4,192.5
99,0.0,392.4,199.5
100,0.0,392.4,206.5
101,0.0,392.4,213.5
102,0.0,392.4,220.5
103,0.0,392.4,227.5
104,0.0,392.4,234.5
105,0.0,392.4,241.5
106,0.0,392.4,248.5
107,0.0,392.4,255.5
108,0.0,392.4,262.5
109,0.0,392.4,269.5
110,0.0,392.4,276.5
111,0.0,392.4,283.5
